gamma,learning_rate,initial_t,power_t,noise_sigma,final_ctr_mean,final_ctr_std,final_ctr_cv,ab_final_ctr_mean,ab_final_ctr_std,improvement_over_ab_mean,improvement_over_ab_std,improvement_over_ab_cv,time_sensitivity_mean,time_sensitivity_std,context_coverage_mean,context_coverage_std,average_regret_mean,average_regret_std,max_regret_mean,max_regret_std,num_repetitions,timestamp
40.0,3.0,0.5,0.1,0.05,44.71030746176363,15.72460936962595,0.35169987106605516,33.33162661366866,0.5139149117522284,34.24903960216841,47.907656320951425,1.3988029117732763,0.13333333333333333,0.1632993161855452,0.6833333333333333,0.08164965809277258,50.016666666666666,15.068952628943173,203.4,43.199999999999996,5,2025-03-02 07:41:10
40.0,2.0,8.0,0.1,0.05,52.43691932613315,25.607796524234143,0.4883543284639894,33.31284737112493,0.3204956778216988,57.65774205449107,77.18841890182564,1.3387346807455027,0.13466666666666666,0.26601253103315764,0.6666666666666667,0.10540925533894598,46.53333333333334,26.28902390310028,163.7,81.90091574579614,5,2025-03-02 07:41:10
70.0,4.0,8.0,0.1,0.05,50.658196263176706,18.731870419496776,0.36976978655501236,33.0632106911972,0.4315444243553751,53.84221651848914,58.22387861012312,1.0813796751872082,0.3,0.1632993161855452,0.6833333333333333,0.08164965809277258,46.67055555555555,18.208806002848807,179.2,56.243755208911864,5,2025-03-02 07:41:10
30.0,3.0,1.0,0.1,0.05,48.823727886803496,23.573509948002282,0.4828289638729929,33.35488233414468,0.1754498888675216,46.585230178872386,70.96158613656013,1.5232636151864085,0.06666666666666667,0.13333333333333333,0.7,0.09999999999999999,50.0,24.359745939196948,197.6,85.85476107939502,5,2025-03-02 07:41:15
50.0,4.0,5.0,0.1,0.05,73.45564223999047,13.708714764297236,0.18662575598357486,33.17475975721591,0.13772257113214742,121.45011686110972,41.58214519805849,0.3423804461679671,0.3346666666666666,0.20871671391306126,0.7666666666666667,0.03333333333333335,21.273888888888887,16.131050840988873,95.28666666666666,74.77777328710569,5,2025-03-02 07:41:15
60.0,4.0,5.0,0.1,0.05,42.043434692283334,12.778567019322132,0.3039372761252428,33.33036551545748,0.33223980298450306,25.940866708575662,37.39841159726603,1.4416793400701096,0.16599999999999998,0.20976600720273475,0.6500000000000001,0.08164965809277258,54.11111111111111,13.895920442283469,200.8,48.4,5,2025-03-02 07:41:15
80.0,1.5,1.0,0.1,0.05,55.72435111967544,8.548118535340443,0.15340005515689584,33.10661642662279,0.45871614216660195,68.55619039385009,27.554725508552288,0.40192906505236786,0.13466666666666666,0.26601253103315764,0.75,0.0,41.1,7.031358332498778,204.7,40.6,5,2025-03-02 07:41:21
80.0,4.0,0.5,0.1,0.05,76.39232566481421,15.034233083404823,0.19680292428025253,33.32126366188038,0.3826630159056603,129.5596469416697,46.66963432818703,0.3602173626576693,0.2,0.1632993161855452,0.7666666666666667,0.03333333333333335,22.366666666666667,16.610789666157757,97.2,75.75064356162264,5,2025-03-02 07:41:21
30.0,1.5,8.0,0.1,0.05,56.8252274238631,19.347512914087353,0.34047400760533675,33.094034393196814,0.47667840803233963,72.11621970789554,59.21609769887621,0.8211203795585672,0.06666666666666667,0.13333333333333333,0.7166666666666667,0.06666666666666665,40.31,19.609798555383378,184.0,82.0,5,2025-03-02 07:41:21
80.0,2.0,1.0,0.1,0.05,55.10825456018283,14.356687646542808,0.2605179162563406,33.590904935028604,0.4153074178717443,63.66713822512192,41.1759659927633,0.6467381311716631,0.2013333333333333,0.16168006817305725,0.7166666666666667,0.06666666666666665,44.1,13.988427756939346,176.6,59.27765177535291,5,2025-03-02 07:41:26
