context,user_type,time_of_day,optimal_action,cb_reward,ab_reward,reward_improvement_pct,cb_accuracy,ab_accuracy,accuracy_improvement,cb_regret,ab_regret,regret_improvement_pct,optimal_reward
casual_player_afternoon,casual,player_afternoon,slots_heavy,8.0,11.809461127019883,-32.25770495407186,0.0,23.333333333333332,-23.333333333333332,16.0,12.190538872980117,-31.249325125925438,24.0
casual_player_evening,casual,player_evening,slots_heavy,12.0,22.04579566625897,-45.56785256625613,0.0,43.333333333333336,-43.333333333333336,24.0,13.954204333741028,-71.99117503223317,36.0
casual_player_morning,casual,player_morning,slots_heavy,10.0,12.92423660899285,-22.625990976969025,0.0,16.666666666666664,-16.666666666666664,20.0,17.07576339100715,-17.125071026299658,30.0
high_roller_afternoon,high,roller_afternoon,live_casino,200.0,53.866578228833184,271.28773828991035,100.0,13.333333333333334,86.66666666666667,0.0,146.1334217711668,100.0,200.0
high_roller_evening,high,roller_evening,live_casino,300.0,77.1587368204342,288.80885349142994,100.0,13.333333333333334,86.66666666666667,0.0,222.8412631795658,100.0,300.0
high_roller_morning,high,roller_morning,live_casino,180.0,57.66863464095466,212.12807641568304,100.0,23.333333333333332,76.66666666666667,0.0,122.33136535904535,100.0,180.0
newbie_afternoon,newbie,afternoon,promotional,30.0,17.186410276098858,74.55652179862714,100.0,33.33333333333333,66.66666666666667,0.0,12.813589723901142,100.0,30.0
newbie_evening,newbie,evening,promotional,42.0,20.658884164557296,103.30236456844003,100.0,23.333333333333332,76.66666666666667,0.0,21.341115835442704,100.0,42.0
newbie_morning,newbie,morning,promotional,24.0,10.119782409812775,137.15924936022438,100.0,13.333333333333334,86.66666666666667,0.0,13.880217590187225,100.0,24.0
sports_enthusiast_afternoon,sports,enthusiast_afternoon,sports_betting,130.0,33.69209557741638,285.84717801625334,100.0,13.333333333333334,86.66666666666667,0.0,96.30790442258362,100.0,130.0
sports_enthusiast_evening,sports,enthusiast_evening,sports_betting,130.0,31.29932725289222,315.34439047084413,100.0,13.333333333333334,86.66666666666667,0.0,98.70067274710777,100.0,130.0
sports_enthusiast_morning,sports,enthusiast_morning,sports_betting,70.0,26.5182518784763,163.96913462012904,100.0,26.666666666666668,73.33333333333333,0.0,43.4817481215237,100.0,70.0
